"CarName","JPName","USName","EUName","BlockedInJapan","BlockedInUSA","BlockedInPALFIGS","BlockedInPALEnglish"
"t22gn","TOYOTA 2000GT '67","Toyota 2000GT '67","Toyota 2000GT '67","False","False","False","False"
"t22gr","[R]TOYOTA 2000GT '67","[R]Toyota 2000GT '67","[R]Toyota 2000GT '67","False","False","False","False"
"t285n","TOYOTA ST165 GT-FOUR","Celica GT-Four '88","Celica GT-Four '88","False","False","False","False"
"t285r","[R]TOYOTA ST165 GT-FOUR","[R]Celica GT-Four '88","[R]Celica GT-Four '88","False","False","False","False"
"t292n","TOYOTA ALTEZZA AS200","Toyota Altezza AS200 '98","Toyota Altezza AS200 '98","False","False","True","True"
"t292r","[R]TOYOTA ALTEZZA AS200","[R]Toyota Altezza AS200 '98","[R]Toyota Altezza AS200 '98","False","False","False","False"
"t2c3n","TOYOTA CELICA SS-III '97","Celica SS-III '97","Celica SS-III '97","False","False","False","False"
"t2c3r","[R]TOYOTA CELICA SS-III '97","[R]Celica SS-III '97","[R]Celica SS-III '97","False","False","False","False"
"t2c4n","TOYOTA ST185 GT-FOUR","Celica GT-Four '91","Celica GT-Four '91","False","False","False","False"
"t2c4r","[R]TOYOTA ST185 GT-FOUR","[R]Celica GT-Four '91","[R]Celica GT-Four '91","False","False","False","False"
"t2cdn","TOYOTA CELICA XYR","XYR Detroit Show Ver. '99","XYR Detroit Show Ver. '99","False","False","False","False"
"t2cen","TOYOTA CELICA SS-II E.S.Ver.","Celica SS-II Elegant Ver. '99","Celica SS-II Elegant Ver. '99","False","False","False","False"
"t2cer","[R]TOYOTA CELICA SS-II E.S.Ver.","[R]Celica SS-II Elegant Ver. '99","[R]Celica SS-II Elegant Ver. '99","False","False","False","False"
"t2clr","[R]CELICA XYR RALLY CAR","[R]Celica Rally Car","[R]Celica Rally Car","False","False","False","False"
"t2cmn","TOYOTA CELICA SS-II M.S.Ver.","Celica SS-II Mech. Ver. '99","Celica SS-II Mech. Ver. '99","False","False","False","False"
"t2cmr","[R]TOYOTA CELICA SS-II M.S.Ver.","[R]Celica SS-II Mech. Ver. '99","[R]Celica SS-II Mech. Ver. '99","False","False","False","False"
"t2con","TOYOTA ST185 CELICA GT-R","Celica GT-R '91","Celica GT-R '91","False","False","False","False"
"t2cor","[R]TOYOTA ST185 CELICA GT-R","[R]Celica GT-R '91","[R]Celica GT-R '91","False","False","False","False"
"t2cyn","TOYOTA CELICA SS-II","Celica SS-II '99","Celica SS-II '99","False","False","False","False"
"t2cyr","[R]TOYOTA CELICA SS-II","[R]Celica SS-II '99","[R]Celica SS-II '99","False","False","False","False"
"t2lgn","LEXUS GS400","Lexus GS 400","Lexus GS 400","False","False","False","False"
"t2lgr","[R]LEXUS GS400","[R]Lexus GS 400","[R]Lexus GS 400","False","False","False","False"
"t2lsn","LEXUS SC400","Lexus SC 400","Lexus SC 400","False","False","False","False"
"t2lsr","[R]LEXUS SC400","[R]Lexus SC 400","[R]Lexus SC 400","False","False","False","False"
"t2msn","TOYOTA MR-S ``S edition''","Toyota MR-S S Edition '99","Toyota MR-S S Edition '99","False","False","False","False"
"t2msr","[R]TOYOTA MR-S ``S edition''","[R]Toyota MR-S S Edition '99","[R]Toyota MR-S S Edition '99","False","False","False","False"
"t2mtn","TOYOTA MR-S Motor Show Ver.","MR-S Motor Show Ver. '97","MR-S Motor Show Ver. '97","False","False","False","False"
"t2o3n","TOYOTA SOARER 3.0GT","Soarer 3.0GT '96","Soarer 3.0GT '96","False","False","False","False"
"t2o3r","[R]TOYOTA SOARER 3.0GT","[R]Soarer 3.0GT '96","[R]Soarer 3.0GT '96","False","False","False","False"
"t2s3n","TOYOTA ARISTO S300","Toyota Aristo S300 '97","Toyota Aristo S300 '97","False","False","False","False"
"t2s3r","[R]TOYOTA ARISTO S300","[R]Toyota Aristo S300 '97","[R]Toyota Aristo S300 '97","False","False","False","False"
"t2vzn","TOYOTA Vitz F","Toyota Vitz F '99","Toyota Vitz F '99","False","False","False","False"
"t2vzr","[R]TOYOTA Vitz F","[R]Toyota Vitz F '99","[R]Toyota Vitz F '99","False","False","False","False"
"t2xxn","TOYOTA CELICA XX 2800GT","Celica XX 2800GT '83","Celica XX 2800GT '83","False","False","False","False"
"t2xxr","[R]TOYOTA CELICA XX 2800GT","[R]Celica XX 2800GT '83","[R]Celica XX 2800GT '83","False","False","False","False"
"tceln","TOYOTA CELICA SS-II '95","Celica SS-II '95","Celica SS-II '95","False","False","False","False"
"tcelr","[R]TOYOTA CELICA SS-II '95","[R]Celica SS-II '95","[R]Celica SS-II '95","False","False","False","False"
"tsgtn","MA70 SUPRA GT Turbo Ltd.","Supra GT Turbo Limited '93","Supra GT Turbo Limited '93","False","False","False","False"
"tsgtr","[R]MA70 SUPRA GT Turbo Ltd.","[R]Supra GT Turbo Limited '93","[R]Supra GT Turbo Limited '93","False","False","False","False"
"tsoan","TOYOTA SOARER 2.5 VVT-i","Soarer 2.5GT-T VVT-i '96","Soarer 2.5GT-T VVT-i '96","False","False","False","False"
"tsoar","[R]TOYOTA SOARER 2.5 VVT-i","[R]Soarer 2.5GT-T VVT-i '96","[R]Soarer 2.5GT-T VVT-i '96","False","False","False","False"
"tsonn","SUPRA RZ '95","Toyota Supra RZ '95","Toyota Supra RZ '95","False","False","False","False"
"tsonr","[R]SUPRA RZ '95","[R]Toyota Supra RZ '95","[R]Toyota Supra RZ '95","False","False","False","False"
"tsoon","TOYOTA SOARER 2.5GT-T '95","Soarer 2.5GT-T '95","Soarer 2.5GT-T '95","False","False","False","False"
"tsoor","[R]TOYOTA SOARER 2.5GT-T '95","[R]Soarer 2.5GT-T '95","[R]Soarer 2.5GT-T '95","False","False","False","False"
"tsorn","SUPRA SZ-R '95","Toyota Supra SZ-R '95","Toyota Supra SZ-R '95","False","False","False","False"
"tsorr","[R]SUPRA SZ-R '95","[R]Toyota Supra SZ-R '95","[R]Toyota Supra SZ-R '95","False","False","False","False"
"tspnn","SUPRA RZ '96","Toyota Supra RZ '96","Toyota Supra RZ '96","False","False","False","False"
"tspnr","[R]SUPRA RZ '96","[R]Toyota Supra RZ '96","[R]Toyota Supra RZ '96","False","False","False","False"
"tspon","JZA70 SUPRA Twin Turbo-R","Supra Twinturbo-R '91","Supra Twinturbo-R '91","False","False","False","False"
"tspor","[R]JZA70 SUPRA Twin Turbo-R","[R]Supra Twinturbo-R '91","[R]Supra Twinturbo-R '91","False","False","False","False"
"tsprn","SUPRA SZ-R '96","Toyota Supra SZ-R '96","Toyota Supra SZ-R '96","False","False","False","False"
"tsprr","[R]SUPRA SZ-R '96","[R]Toyota Supra SZ-R '96","[R]Toyota Supra SZ-R '96","False","False","False","False"
"tstln","TOYOTA STARLET '96","Toyota Starlet Glanza V '96","Toyota Starlet Glanza V '96","False","False","False","False"
"tstlr","[R]TOYOTA STARLET '96","[R]Toyota Starlet Glanza V '96","[R]Toyota Starlet Glanza V '96","False","False","False","False"